"location","population","highest_total_case","percent_population_infected"
Saudi Arabia,35340680,543318.0,0.015373727953168983
Indonesia,276361788,4073831.0,0.014740934444960241
El Salvador,6518500.0,94060.0,0.01442970008437524
Timor,1343875.0,16402.0,0.012205004185657148
Djibouti,1002197.0,11741.0,0.011715261570329986
Venezuela,28704947,333125.0,0.01160514248641532
Sao Tome and Principe,223364.0,2590.0,0.011595422718074533
Japan,126050796,1460222.0,0.011584393326639525
Singapore,5896684.0,67171.0,0.011391317560852845
Gabon,2278829.0,25819.0,0.01132994182538488
Zambia,18920657,206051.0,0.010890266654059634
Bangladesh,166303494,1493537.0,0.008980791467917084
Zimbabwe,15092171,124437.0,0.008245135838972404
Myanmar,54806014,392300.0,0.007157973575673647
Mauritania,4775110.0,33309.0,0.006975546113073835
Mauritius,1273428.0,8667.0,0.006806038503943686
Lesotho,2159067.0,14395.0,0.006667231725555529
Rwanda,13276517,86613.0,0.006523774270013739
Equatorial Guinea,1449891.0,9326.0,0.006432207662507044
Brunei,441532.0,2462.0,0.005576039788735584
Cambodia,16946446,92208.0,0.005441140874021609
Pakistan,225199929,1156281.0,0.005134464318592214
South Korea,51305184,250051.0,0.004873795989114862
Comoros,888456.0,4062.0,0.004571976552581107
Uzbekistan,33935765,154844.0,0.004562855736418495
Mozambique,32163045,145863.0,0.004535111647544565
Vietnam,98168829,435265.0,0.004433841214506083
Algeria,44616626,195162.0,0.004374198981339378
Kenya,54985702,234952.0,0.004272965361067865
Senegal,17196308,72709.0,0.004228175024545967
Gambia,2486937.0,9626.0,0.003870624788645631
Afghanistan,39835428,152960.0,0.003839798081245669
Ghana,31732128,117636.0,0.0037071576164069424
Bhutan,779900.0,2594.0,0.003326067444544172
Grenada,113015.0,357.0,0.003158872716011149
Malawi,19647681,60345.0,0.003071354833173442
Cameroon,27224262,83425.0,0.0030643622221972447
Guinea-Bissau,2015490.0,5766.0,0.002860842772725243
Egypt,104258327,287899.0,0.0027614005354219813
Ethiopia,117876226,306117.0,0.0025969358740752357
Uganda,47123533,119732.0,0.0025408111908756924
Togo,8478242.0,21181.0,0.00249827735514037
Congo,5657017.0,13533.0,0.0023922501912226886
Central African Republic,4919987.0,11270.0,0.0022906564590516195
Guinea,13497237,29209.0,0.00216407254314346
Australia,25788217,52611.0,0.0020401177793718736
Cote d'Ivoire,27053629,55108.0,0.0020369910447134466
Laos,7379358.0,14641.0,0.0019840479347932437
Papua New Guinea,9119005.0,17838.0,0.0019561344686180124
Eritrea,3601462.0,6640.0,0.0018436956991355177
Haiti,11541683,20833.0,0.0018050227163577443
Tajikistan,9749625.0,16778.0,0.0017208867007705425
Nicaragua,6702379.0,11167.0,0.0016661248192619367
Hong Kong,7552800.0,12107.0,0.0016029816756699502
Syria,18275704,27654.0,0.0015131564836024921
Madagascar,28427333,42862.0,0.0015077742256018177
Angola,33933611,47168.0,0.0013900082723291665
Benin,12451031,13366.0,0.0010734854005262696
Liberia,5180208.0,5538.0,0.0010690690412431315
Somalia,16359500,17302.0,0.0010576117852012592
South Sudan,11381377,11403.0,0.0010018998579873067
Burundi,12255429,11994.0,0.0009786683109991
Nigeria,211400704,191345.0,0.0009051294360874
Sudan,44909351,37699.0,0.000839446555351
Sierra Leone,8141343.0,6363.0,0.0007815663828437
New Zealand,4860642.0,3520.0,0.0007241841715559
Mali,20855724,14857.0,0.000712370378511
Taiwan,23855008,15983.0,0.0006700060632971
Burkina Faso,21497097,13762.0,0.0006401794623711
Democratic Republic of Congo,92377986,54508.0,0.0005900539983628
Chad,16914985,4991.0,0.0002950638147181
Yemen,30490639,7784.0,0.0002552914683093
Niger,25130810,5839.0,0.00023234428178
Palau,18174.0,2.0,0.0001100473203477
Marshall Islands,59618.0,4.0,0.0000670938307223
China,1444216102,94905.0,0.0000657138497961
Solomon Islands,703995.0,20.0,0.0000284092926796
Tanzania,61498438,1367.0,0.0000222282068367
Kiribati,121388.0,2.0,0.0000164760931888
Samoa,200144.0,3.0,0.0000149892077704
Vanuatu,314464.0,4.0,0.0000127200569859
Micronesia (country),116255.0,1.0,0.0000086017805686
Falkland Islands,3528.0,0.0,0.0
Turkmenistan,6117933.0,0.0,0.0
Nauru,10873.0,0.0,0.0
Faeroe Islands,49053.0,0.0,0.0
Cayman Islands,66498.0,0.0,0.0
Cook Islands,17572.0,0.0,0.0
British Virgin Islands,30423.0,0.0,0.0
Tonga,106759.0,0.0,0.0
Isle of Man,85410.0,0.0,0.0
Montserrat,4981.0,0.0,0.0
Tuvalu,11925.0,0.0,0.0
New Caledonia,288217.0,0.0,0.0
Jersey,101073.0,0.0,0.0
Turks and Caicos Islands,39226.0,0.0,0.0
Guernsey,67052.0,0.0,0.0
Curacao,164796.0,0.0,0.0
Niue,1614.0,0.0,0.0
Gibraltar,33691.0,0.0,0.0
Macao,658391.0,0.0,0.0
Bermuda,62092.0,0.0,0.0
Sint Maarten (Dutch part),43421.0,0.0,0.0
French Polynesia,282534.0,0.0,0.0
Saint Helena,6095.0,0.0,0.0
Anguilla,15125.0,0.0,0.0
Wallis and Futuna,11094.0,0.0,0.0
Aruba,107195.0,0.0,0.0
Tokelau,1368.0,0.0,0.0
Pitcairn,47.0,0.0,0.0
Northern Cyprus,,0.0,0.0
Bonaire Sint Eustatius and Saba,26445.0,0.0,0.0
Greenland,56868.0,0.0,0.0
